Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Tuulen suunta (deg),Tuulen nopeus (m/s)
2023,8,28,00:00,UTC,-,136,2.2
2023,8,28,00:10,UTC,-,132,2.5
2023,8,28,00:20,UTC,-,132,2.3
2023,8,28,00:30,UTC,-,132,2.5
2023,8,28,00:40,UTC,-,124,2.2
2023,8,28,00:50,UTC,-,122,2.1
2023,8,28,01:00,UTC,-,111,2.7
2023,8,28,01:10,UTC,-,118,2.5
2023,8,28,01:20,UTC,-,121,2.2
2023,8,28,01:30,UTC,-,115,2.8
2023,8,28,01:40,UTC,-,121,2.4
2023,8,28,01:50,UTC,-,124,2.1
2023,8,28,02:00,UTC,-,131,2.2
2023,8,28,02:10,UTC,-,120,2.1
2023,8,28,02:20,UTC,-,118,1.7
2023,8,28,02:30,UTC,-,150,1.4
2023,8,28,02:40,UTC,-,173,1.6
2023,8,28,02:50,UTC,-,143,1.8
2023,8,28,03:00,UTC,-,130,2.1
2023,8,28,03:10,UTC,-,149,1.2
2023,8,28,03:20,UTC,-,163,1.3
2023,8,28,03:30,UTC,-,153,2
2023,8,28,03:40,UTC,-,145,2.1
2023,8,28,03:50,UTC,-,137,1.9
2023,8,28,04:00,UTC,-,129,2.5
2023,8,28,04:10,UTC,-,118,2.1
2023,8,28,04:20,UTC,-,127,2.1
2023,8,28,04:30,UTC,-,132,2.4
2023,8,28,04:40,UTC,-,122,2.8
2023,8,28,04:50,UTC,-,126,2.6
2023,8,28,05:00,UTC,-,127,2.3
2023,8,28,05:10,UTC,-,134,2.5
2023,8,28,05:20,UTC,-,137,2.7
2023,8,28,05:30,UTC,-,136,3
2023,8,28,05:40,UTC,-,137,2.1
2023,8,28,05:50,UTC,-,130,2.1
2023,8,28,06:00,UTC,-,123,2.4
2023,8,28,06:10,UTC,-,135,2.2
2023,8,28,06:20,UTC,-,129,2.1
2023,8,28,06:30,UTC,-,130,2.1
2023,8,28,06:40,UTC,-,131,1.9
2023,8,28,06:50,UTC,-,116,2
2023,8,28,07:00,UTC,-,109,2
2023,8,28,07:10,UTC,-,108,1.8
2023,8,28,07:20,UTC,-,126,2.1
2023,8,28,07:30,UTC,-,106,2
2023,8,28,07:40,UTC,-,98,2.1
2023,8,28,07:50,UTC,-,96,2.4
2023,8,28,08:00,UTC,-,102,2.8
2023,8,28,08:10,UTC,-,102,2.5
2023,8,28,08:20,UTC,-,99,2.3
2023,8,28,08:30,UTC,-,104,2.7
2023,8,28,08:40,UTC,-,108,2.4
2023,8,28,08:50,UTC,-,112,2.5
2023,8,28,09:00,UTC,-,105,2.2
2023,8,28,09:10,UTC,-,92,2
2023,8,28,09:20,UTC,-,100,2.4
2023,8,28,09:30,UTC,-,98,2.6
2023,8,28,09:40,UTC,-,94,2.3
2023,8,28,09:50,UTC,-,96,2.3
2023,8,28,10:00,UTC,-,95,2.8
2023,8,28,10:10,UTC,-,96,2.8
2023,8,28,10:20,UTC,-,87,2.9
2023,8,28,10:30,UTC,-,89,2.8
2023,8,28,10:40,UTC,-,84,2.8
2023,8,28,10:50,UTC,-,79,2.6
2023,8,28,11:00,UTC,-,81,3.5
2023,8,28,11:10,UTC,-,84,3
2023,8,28,11:20,UTC,-,92,3.2
2023,8,28,11:30,UTC,-,98,2.3
2023,8,28,11:40,UTC,-,95,2.6
2023,8,28,11:50,UTC,-,89,2.3
2023,8,28,12:00,UTC,-,86,2.4
2023,8,28,12:10,UTC,-,86,3.1
2023,8,28,12:20,UTC,-,86,3.2
2023,8,28,12:30,UTC,-,85,3
2023,8,28,12:40,UTC,-,80,3.2
