Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Tuulen suunta (deg),Tuulen nopeus (m/s)
2023,8,28,00:00,UTC,0,-,-
2023,8,28,01:00,UTC,0,-,-
2023,8,28,02:00,UTC,0,-,-
2023,8,28,03:00,UTC,0,-,-
2023,8,28,04:00,UTC,0,-,-
2023,8,28,05:00,UTC,0,-,-
2023,8,28,06:00,UTC,0,-,-
2023,8,28,07:00,UTC,0,-,-
2023,8,28,08:00,UTC,0,-,-
2023,8,28,09:00,UTC,0,-,-
2023,8,28,10:00,UTC,0.4,-,-
2023,8,28,11:00,UTC,1,-,-
2023,8,28,12:00,UTC,0.8,-,-
2023,8,28,13:00,UTC,3.3,-,-
2023,8,28,14:00,UTC,3.3,-,-
2023,8,28,15:00,UTC,4,-,-
2023,8,28,16:00,UTC,7.8,-,-
2023,8,28,17:00,UTC,6.5,-,-
2023,8,28,18:00,UTC,5.5,-,-
2023,8,28,19:00,UTC,11.6,-,-
2023,8,28,20:00,UTC,9.1,-,-
2023,8,28,21:00,UTC,5,-,-
2023,8,28,22:00,UTC,1,-,-
2023,8,28,23:00,UTC,0.1,-,-
2023,8,29,00:00,UTC,0.1,-,-
