Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Tuulen suunta (deg),Tuulen nopeus (m/s)
2023,8,28,00:00,UTC,0,108,2
2023,8,28,00:10,UTC,-,115,1.5
2023,8,28,00:20,UTC,-,119,1.8
2023,8,28,00:30,UTC,-,118,2.6
2023,8,28,00:40,UTC,-,117,2.6
2023,8,28,00:50,UTC,-,116,2.7
2023,8,28,01:00,UTC,0,109,2.4
2023,8,28,01:10,UTC,-,99,1.9
2023,8,28,01:20,UTC,-,111,2
2023,8,28,01:30,UTC,-,119,1.5
2023,8,28,01:40,UTC,-,116,2.7
2023,8,28,01:50,UTC,-,116,2.7
2023,8,28,02:00,UTC,0,113,2.3
2023,8,28,02:10,UTC,-,113,2.9
2023,8,28,02:20,UTC,-,115,2.9
2023,8,28,02:30,UTC,-,120,2.4
2023,8,28,02:40,UTC,-,112,2.5
2023,8,28,02:50,UTC,-,107,2.5
2023,8,28,03:00,UTC,0,123,2.8
2023,8,28,03:10,UTC,-,123,2.3
2023,8,28,03:20,UTC,-,133,2.7
2023,8,28,03:30,UTC,-,144,2.9
2023,8,28,03:40,UTC,-,149,2.5
2023,8,28,03:50,UTC,-,148,2.9
2023,8,28,04:00,UTC,0,140,3.4
2023,8,28,04:10,UTC,-,137,4.3
2023,8,28,04:20,UTC,-,143,3.2
2023,8,28,04:30,UTC,-,134,2.4
2023,8,28,04:40,UTC,-,139,2.3
2023,8,28,04:50,UTC,-,119,2.4
2023,8,28,05:00,UTC,0,113,2.5
2023,8,28,05:10,UTC,-,105,2.3
2023,8,28,05:20,UTC,-,123,2.5
2023,8,28,05:30,UTC,-,129,2.3
2023,8,28,05:40,UTC,-,139,1.2
2023,8,28,05:50,UTC,-,123,1.2
2023,8,28,06:00,UTC,0,122,0.9
2023,8,28,06:10,UTC,-,93,1.3
2023,8,28,06:20,UTC,-,90,2
2023,8,28,06:30,UTC,-,75,1.7
2023,8,28,06:40,UTC,-,66,1.6
2023,8,28,06:50,UTC,-,85,1.3
2023,8,28,07:00,UTC,0,96,0.9
2023,8,28,07:10,UTC,-,76,0.8
2023,8,28,07:20,UTC,-,80,1.1
2023,8,28,07:30,UTC,-,74,1.1
2023,8,28,07:40,UTC,-,66,1.5
2023,8,28,07:50,UTC,-,75,1.4
2023,8,28,08:00,UTC,0,65,1.6
2023,8,28,08:10,UTC,-,71,2.2
2023,8,28,08:20,UTC,-,70,2
2023,8,28,08:30,UTC,-,74,2.7
2023,8,28,08:40,UTC,-,75,2.8
2023,8,28,08:50,UTC,-,69,2.9
2023,8,28,09:00,UTC,1.7,69,2.6
2023,8,28,09:10,UTC,-,53,2.8
2023,8,28,09:20,UTC,-,54,3
2023,8,28,09:30,UTC,-,55,3.2
2023,8,28,09:40,UTC,-,57,3.6
2023,8,28,09:50,UTC,-,54,3.4
2023,8,28,10:00,UTC,2.2,54,3.5
