Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Tuulen suunta (deg),Tuulen nopeus (m/s)
2023,8,28,00:00,UTC,-,129,3.7
2023,8,28,00:10,UTC,-,120,3.3
2023,8,28,00:20,UTC,-,116,3.7
2023,8,28,00:30,UTC,-,131,3.6
2023,8,28,00:40,UTC,-,127,4.2
2023,8,28,00:50,UTC,-,130,3.9
2023,8,28,01:00,UTC,-,128,4.5
2023,8,28,01:10,UTC,-,138,4.9
2023,8,28,01:20,UTC,-,144,4.2
2023,8,28,01:30,UTC,-,141,4.1
2023,8,28,01:40,UTC,-,143,3.5
2023,8,28,01:50,UTC,-,153,3.5
2023,8,28,02:00,UTC,-,155,3
2023,8,28,02:10,UTC,-,166,2.4
2023,8,28,02:20,UTC,-,158,3.2
2023,8,28,02:30,UTC,-,138,3.5
2023,8,28,02:40,UTC,-,137,3.4
2023,8,28,02:50,UTC,-,145,2.7
2023,8,28,03:00,UTC,-,108,2.9
2023,8,28,03:10,UTC,-,130,4.4
2023,8,28,03:20,UTC,-,145,3.8
2023,8,28,03:30,UTC,-,141,3.3
2023,8,28,03:40,UTC,-,135,2.5
2023,8,28,03:50,UTC,-,146,3.3
2023,8,28,04:00,UTC,-,141,3.8
2023,8,28,04:10,UTC,-,131,3.8
2023,8,28,04:20,UTC,-,134,4.4
2023,8,28,04:30,UTC,-,138,3.9
2023,8,28,04:40,UTC,-,131,3.4
2023,8,28,04:50,UTC,-,148,3.4
2023,8,28,05:00,UTC,-,164,4.3
2023,8,28,05:10,UTC,-,153,4.4
2023,8,28,05:20,UTC,-,154,4
2023,8,28,05:30,UTC,-,142,4.1
2023,8,28,05:40,UTC,-,140,4.4
2023,8,28,05:50,UTC,-,148,4
2023,8,28,06:00,UTC,-,144,3.5
2023,8,28,06:10,UTC,-,138,2.9
2023,8,28,06:20,UTC,-,127,4
2023,8,28,06:30,UTC,-,113,3.7
2023,8,28,06:40,UTC,-,108,3.1
2023,8,28,06:50,UTC,-,118,2.8
2023,8,28,07:00,UTC,-,120,2.8
2023,8,28,07:10,UTC,-,113,2.8
2023,8,28,07:20,UTC,-,106,3.2
2023,8,28,07:30,UTC,-,108,2.9
2023,8,28,07:40,UTC,-,99,3.2
2023,8,28,07:50,UTC,-,108,3.4
2023,8,28,08:00,UTC,-,117,3.5
2023,8,28,08:10,UTC,-,107,3.6
2023,8,28,08:20,UTC,-,108,2.9
2023,8,28,08:30,UTC,-,117,2.4
2023,8,28,08:40,UTC,-,118,2.1
2023,8,28,08:50,UTC,-,117,2
2023,8,28,09:00,UTC,-,42,0.8
2023,8,28,09:10,UTC,-,58,1.3
2023,8,28,09:20,UTC,-,25,1.1
2023,8,28,09:30,UTC,-,356,2.3
2023,8,28,09:40,UTC,-,39,2.5
2023,8,28,09:50,UTC,-,49,3.2
2023,8,28,10:00,UTC,-,35,3.8
2023,8,28,10:10,UTC,-,25,4.5
2023,8,28,10:20,UTC,-,23,4.5
2023,8,28,10:30,UTC,-,13,4.5
2023,8,28,10:40,UTC,-,27,5.1
2023,8,28,10:50,UTC,-,17,4.9
2023,8,28,11:00,UTC,-,10,5.2
2023,8,28,11:10,UTC,-,10,6
2023,8,28,11:20,UTC,-,10,6.3
2023,8,28,11:30,UTC,-,32,5.2
2023,8,28,11:40,UTC,-,63,4.6
2023,8,28,11:50,UTC,-,57,6.2
2023,8,28,12:00,UTC,-,57,6.6
2023,8,28,12:10,UTC,-,53,6.9
2023,8,28,12:20,UTC,-,50,7.2
2023,8,28,12:30,UTC,-,58,6.3
2023,8,28,12:40,UTC,-,58,6.1
2023,8,28,12:50,UTC,-,48,6.5
2023,8,28,13:00,UTC,-,48,7.4
2023,8,28,13:10,UTC,-,51,7.6
2023,8,28,13:20,UTC,-,58,7.3
2023,8,28,13:30,UTC,-,63,7.2
2023,8,28,13:40,UTC,-,59,7.9
2023,8,28,13:50,UTC,-,63,8.1
2023,8,28,14:00,UTC,-,64,7.9
2023,8,28,14:10,UTC,-,64,8.2
2023,8,28,14:20,UTC,-,63,8.4
2023,8,28,14:30,UTC,-,69,9.8
2023,8,28,14:40,UTC,-,68,9.1
2023,8,28,14:50,UTC,-,66,9.1
2023,8,28,15:00,UTC,-,61,9.1
2023,8,28,15:10,UTC,-,61,9.7
2023,8,28,15:20,UTC,-,64,10.1
2023,8,28,15:30,UTC,-,62,9.5
2023,8,28,15:40,UTC,-,63,9.3
2023,8,28,15:50,UTC,-,67,9.8
2023,8,28,16:00,UTC,-,61,7
2023,8,28,16:10,UTC,-,28,5.8
2023,8,28,16:20,UTC,-,17,7.1
2023,8,28,16:30,UTC,-,5,4.9
2023,8,28,16:40,UTC,-,354,7.5
2023,8,28,16:50,UTC,-,353,7.7
2023,8,28,17:00,UTC,-,345,8.7
2023,8,28,17:10,UTC,-,1,11.1
2023,8,28,17:20,UTC,-,11,12.2
2023,8,28,17:30,UTC,-,14,12.6
2023,8,28,17:40,UTC,-,14,12.1
2023,8,28,17:50,UTC,-,7,11.3
2023,8,28,18:00,UTC,-,348,11.1
2023,8,28,18:10,UTC,-,340,9.6
2023,8,28,18:20,UTC,-,312,7.6
2023,8,28,18:30,UTC,-,292,8.2
2023,8,28,18:40,UTC,-,295,8
2023,8,28,18:50,UTC,-,291,8.4
2023,8,28,19:00,UTC,-,285,9.2
2023,8,28,19:10,UTC,-,285,9.2
2023,8,28,19:20,UTC,-,286,9.8
2023,8,28,19:30,UTC,-,284,10
2023,8,28,19:40,UTC,-,280,9.7
2023,8,28,19:50,UTC,-,274,10.9
2023,8,28,20:00,UTC,-,274,10.1
2023,8,28,20:10,UTC,-,275,10
2023,8,28,20:20,UTC,-,271,10.6
2023,8,28,20:30,UTC,-,267,11.4
2023,8,28,20:40,UTC,-,267,11.3
2023,8,28,20:50,UTC,-,263,10.6
2023,8,28,21:00,UTC,-,260,10.1
2023,8,28,21:10,UTC,-,254,9.5
2023,8,28,21:20,UTC,-,247,10.1
2023,8,28,21:30,UTC,-,248,10.9
2023,8,28,21:40,UTC,-,249,10.4
2023,8,28,21:50,UTC,-,249,10.5
2023,8,28,22:00,UTC,-,245,10.4
2023,8,28,22:10,UTC,-,245,10.5
2023,8,28,22:20,UTC,-,249,10.6
2023,8,28,22:30,UTC,-,248,10.5
2023,8,28,22:40,UTC,-,249,10.5
2023,8,28,22:50,UTC,-,246,10.5
2023,8,28,23:00,UTC,-,246,10.2
2023,8,28,23:10,UTC,-,248,10
2023,8,28,23:20,UTC,-,252,10.2
2023,8,28,23:30,UTC,-,255,9.8
2023,8,28,23:40,UTC,-,256,9.4
2023,8,28,23:50,UTC,-,257,9.4
2023,8,29,00:00,UTC,-,252,8.8
