Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Tuulen suunta (deg),Tuulen nopeus (m/s)
2023,8,28,00:00,UTC,0,120,1.2
2023,8,28,01:00,UTC,0,114,1.5
2023,8,28,02:00,UTC,0,106,1.2
2023,8,28,03:00,UTC,0,133,1.3
2023,8,28,04:00,UTC,0,136,1.3
2023,8,28,05:00,UTC,0,133,1.9
2023,8,28,06:00,UTC,0,115,1.9
2023,8,28,07:00,UTC,0,111,1.3
2023,8,28,08:00,UTC,0,106,1.5
2023,8,28,09:00,UTC,1,99,2
2023,8,28,10:00,UTC,0.9,31,2
2023,8,28,11:00,UTC,0.6,350,1.9
2023,8,28,12:00,UTC,2.9,359,3.2
2023,8,28,13:00,UTC,3.8,340,3.7
2023,8,28,14:00,UTC,4.8,322,4.1
2023,8,28,15:00,UTC,6.2,321,4.6
2023,8,28,16:00,UTC,12.7,312,6.6
2023,8,28,17:00,UTC,19.5,312,5.2
2023,8,28,18:00,UTC,4.3,291,6.3
2023,8,28,19:00,UTC,2.1,279,5.2
2023,8,28,20:00,UTC,0.6,268,4.1
2023,8,28,21:00,UTC,0.3,240,4
2023,8,28,22:00,UTC,0.2,251,4.6
2023,8,28,23:00,UTC,0,233,3.8
2023,8,29,00:00,UTC,0,236,4.1
